raw_venue_string,canonical_venue,altitude_m,altitude_source,confidence,notes
"Palaindoor Ancona, Ancona (ITA)","Palaindoor Ancona, Ancona",16,llm_gemini_v4,high,"Elevation data for the specific address of the Palaindoor di Ancona (Via della Montagnola, 72) from topographical maps. The city of Ancona is on the coast, and the venue is located at a low elevation."
"Palaindoor, Padova (ITA)","Palaindoor, Padova",12,llm_gemini_v4,high,The city of Padova is located on the Padan Plain with a well-documented low elevation. Topographical data for the venue's specific location confirms an altitude of approximately 12 meters.
"National Indoor Arena, Abbotstown, Dublin (IRL)","National Indoor Arena, Abbotstown, Dublin",65,llm_gemini_v4,high,"Based on topographic data for the National Sports Campus in Abbotstown, Dublin."
"Íþróttahöllin Kaplakrika, Hafnarfjördur (ISL)","Ithrottahollin Kaplakrika, Hafnarfjordur",23,llm_gemini_v4,high,"Elevation derived from digital elevation models using the venue's specific coordinates (approx. 64.065° N, 21.945° W). The venue is located in the coastal town of Hafnarfjörður."
"Pista Atlética Lázaro Escobar, Temuco (CHI)","Pista Atletica Lazaro Escobar, Temuco",114,llm_gemini_v4,high,"Altitude determined from topographic data for the specific coordinates of the venue (Campo de Deportes Ñielol) in Temuco, which is significantly lower than the regional average elevation."
"Germiston Stadium, Johannesburg (RSA)","Germiston Stadium, Johannesburg",1620,llm_gemini_v4,high,Germiston is a high-altitude city in the Johannesburg metropolitan area. The stadium's elevation is confirmed by topographic data for its specific coordinates and is widely cited for athletics purposes.
"Centro Desportivo da Madeira, Ribeira Brava (POR)","Centro Desportivo da Madeira, Ribeira Brava",257,llm_gemini_v4,high,"Altitude derived from the specific geographic coordinates of the venue (32.675°N, 17.065°W) using a topographic elevation model."
"Hakatanomori Athletic Stadium, Fukuoka (JPN)","Hakatanomori Athletic Stadium, Fukuoka",11,llm_gemini_v4,high,"Elevation derived from topographical data for the stadium's specific coordinates (approx. 33.58° N, 130.46° E). The venue is located in a low-lying coastal plain near Fukuoka Airport."
"Pista de Atletismo do Santos Dumont, Recifé (BRA)","Pista de Atletismo do Santos Dumont, Recife",5,llm_gemini_v4,high,The venue is located in the coastal city of Recife. Topographical data for the specific location of the Complexo Esportivo Santos Dumont confirms an elevation of approximately 5 meters above sea level.
"Atletski stadion Poljane, Maribor (SLO)","Atletski Stadion Poljane, Maribor",264,llm_gemini_v4,high,"Altitude derived from topographical map data for the specific coordinates of the stadium (46.5597° N, 15.6319° E). The city of Maribor has an average elevation of 275m, but the stadium is located in a lower-lying area near the Drava river."
"Velesajam Hall, Zagreb (CRO)","Velesajam Hall, Zagreb",111,llm_gemini_v4,high,"Based on topographic data for the specific location of the Zagrebački Velesajam complex, which is situated in a flat area of Novi Zagreb, slightly lower than the city's average elevation."
"Denka Big Swan Stadium, Niigata (JPN)","Denka Big Swan Stadium, Niigata",3,llm_gemini_v4,high,"Altitude derived from topographical data for the stadium's specific coordinates (37°52′57″N 139°3′33″E). The venue is located on the low-lying Niigata coastal plain, just a few meters above sea level."
"Ratinan Stadion, Tampere (FIN)","Ratinan Stadion, Tampere",84,llm_gemini_v4,high,"The average elevation of Tampere is 84m, which is consistent with topographic data for the stadium's specific location next to the Tammerkoski rapids."
"Trondheim Stadion, Trondheim (NOR)","Trondheim Stadion, Trondheim",9,llm_gemini_v4,high,"Elevation derived from the specific geographic coordinates of the stadium (approx. 63.42°N, 10.38°E) on the Nidarø peninsula, which is very close to sea level."
"Nagaragawa Stadium, Gifu (JPN)","Nagaragawa Stadium, Gifu",14,llm_gemini_v4,high,"The stadium is located in the city of Gifu on the Nōbi Plain, adjacent to the Nagara River. Topographical data and mapping tools for the stadium's specific coordinates consistently show an elevation of approximately 14 meters above sea level."
"Wan Chai Sports Ground, Hong Kong (HKG)","Wan Chai Sports Ground, Hong Kong",4,llm_gemini_v4,high,"The venue is located on reclaimed land in the Wan Chai district, immediately adjacent to Victoria Harbour. Topographic and satellite data confirm its elevation is just a few meters above sea level."
"Stadion RKS, Łódź (POL)","Stadion RKS, Lodz",188,llm_gemini_v4,high,"Based on topographic data for the stadium's specific location in Łódź. The city's elevation ranges from 162m to 284m, with the stadium area being approximately 188m."
